age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
117,female,no,48.76,0.2479,275.0,0.322,5.942,0.8,1.54,extensive,0.227,1.349,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.445,0.042
118,female,no,49.01,0.2479,275.0,0.322,5.964,0.8,1.546,extensive,0.227,1.354,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.571,0.042
119,female,no,49.26,0.2479,275.0,0.322,5.987,0.8,1.552,extensive,0.227,1.359,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.7,0.042
120,female,no,49.5,0.2479,275.0,0.322,6.009,0.8,1.558,extensive,0.227,1.364,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.826,0.043
121,female,no,49.75,0.2479,275.0,0.322,6.032,0.8,1.564,extensive,0.227,1.369,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.954,0.043
122,female,no,50.0,0.2479,275.0,0.322,6.055,0.8,1.569,extensive,0.227,1.374,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.078,0.043
123,female,no,50.6,0.6044,275.0,0.322,6.109,0.8,4.209,extensive,0.227,1.387,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,49.896,0.063
124,female,no,51.21,0.6044,275.0,0.322,6.164,0.8,4.247,extensive,0.227,1.399,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,50.344,0.063
125,female,no,51.81,0.6044,275.0,0.322,6.218,0.8,4.285,extensive,0.227,1.411,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,50.789,0.064
126,female,no,52.42,0.6044,275.0,0.322,6.273,0.8,4.323,extensive,0.227,1.424,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,51.241,0.064
127,female,no,53.02,0.6044,275.0,0.322,6.327,0.8,4.36,extensive,0.227,1.436,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,51.68,0.065
128,female,no,53.63,0.6044,275.0,0.322,6.381,0.8,4.397,extensive,0.227,1.448,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,52.119,0.066
129,female,no,54.23,0.6044,275.0,0.322,6.435,0.8,4.434,extensive,0.227,1.461,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,52.561,0.066
130,female,no,54.84,0.6044,275.0,0.322,6.489,0.8,4.471,extensive,0.227,1.473,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,53.0,0.067
