age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
101,male,no,139.17,0.9917,900.0,0.322,13.047,1.2,4.693,semi-intensive,0.085,1.109,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,56.895,0.064
102,male,no,140.17,0.9917,900.0,0.322,13.117,1.2,4.718,semi-intensive,0.085,1.115,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,57.199,0.065
103,male,no,141.16,0.9917,900.0,0.322,13.187,1.2,4.743,semi-intensive,0.085,1.121,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,57.504,0.065
104,male,no,142.15,0.9917,900.0,0.322,13.256,1.2,4.768,semi-intensive,0.085,1.127,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,57.806,0.065
105,male,no,143.14,0.9917,900.0,0.322,13.325,1.2,4.793,semi-intensive,0.085,1.133,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,58.108,0.066
106,male,no,144.13,0.9917,900.0,0.322,13.394,1.2,4.818,semi-intensive,0.085,1.138,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,58.407,0.066
107,male,no,145.12,0.9917,900.0,0.322,13.463,1.2,4.843,semi-intensive,0.085,1.144,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,58.709,0.066
108,male,no,146.12,0.9917,900.0,0.322,13.533,1.2,4.868,semi-intensive,0.085,1.15,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,59.014,0.067
109,male,no,147.11,0.9917,900.0,0.322,13.602,1.2,4.892,semi-intensive,0.085,1.156,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,59.312,0.067
110,male,no,148.1,0.9917,900.0,0.322,13.67,1.2,4.917,semi-intensive,0.085,1.162,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,59.611,0.067
111,male,no,149.09,0.9917,900.0,0.322,13.739,1.2,4.942,semi-intensive,0.085,1.168,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,59.913,0.068
112,male,no,150.08,0.9917,900.0,0.322,13.807,1.2,4.966,semi-intensive,0.085,1.174,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,60.208,0.068
113,male,no,151.07,0.9917,900.0,0.322,13.875,1.2,4.991,semi-intensive,0.085,1.179,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,60.505,0.068
114,male,no,152.07,0.9917,900.0,0.322,13.944,1.2,5.015,semi-intensive,0.085,1.185,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,60.803,0.069
115,male,no,153.06,0.9917,900.0,0.322,14.012,1.2,5.04,semi-intensive,0.085,1.191,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.102,0.069
116,male,no,154.05,0.9917,900.0,0.322,14.08,1.2,5.064,semi-intensive,0.085,1.197,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.397,0.07
117,male,no,155.04,0.9917,900.0,0.322,14.148,1.2,5.089,semi-intensive,0.085,1.203,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.697,0.07
118,male,no,156.03,0.9917,900.0,0.322,14.215,1.2,5.113,semi-intensive,0.085,1.208,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.987,0.07
119,male,no,157.02,0.9917,900.0,0.322,14.283,1.2,5.137,semi-intensive,0.085,1.214,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,62.282,0.071
120,male,no,158.02,0.9917,900.0,0.322,14.351,1.2,5.162,semi-intensive,0.085,1.22,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,62.581,0.071
121,male,no,159.01,0.9917,900.0,0.322,14.419,1.2,5.186,semi-intensive,0.085,1.226,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,62.876,0.071
122,male,no,160.0,0.9917,900.0,0.322,14.486,1.2,5.21,semi-intensive,0.085,1.231,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,63.166,0.072
123,male,no,160.88,0.8791,900.0,0.322,14.546,1.2,4.584,semi-intensive,0.085,1.236,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,60.734,0.069
124,male,no,161.76,0.8791,900.0,0.322,14.605,1.2,4.603,semi-intensive,0.085,1.241,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,60.982,0.069
125,male,no,162.64,0.8791,900.0,0.322,14.665,1.2,4.621,semi-intensive,0.085,1.247,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.231,0.069
126,male,no,163.52,0.8791,900.0,0.322,14.724,1.2,4.64,semi-intensive,0.085,1.252,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,61.479,0.07
