age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
94,female,no,78.8,0.5785,380.0,0.322,8.516,0.8,4.388,extensive,0.227,1.933,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,60.815,0.076
95,female,no,79.38,0.5785,380.0,0.322,8.563,0.8,4.413,extensive,0.227,1.944,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,61.156,0.077
96,female,no,79.96,0.5785,380.0,0.322,8.61,0.8,4.437,extensive,0.227,1.954,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,61.488,0.077
97,female,no,80.54,0.5785,380.0,0.322,8.657,0.8,4.461,extensive,0.227,1.965,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,61.824,0.078
98,female,no,81.12,0.5785,380.0,0.322,8.704,0.8,4.485,extensive,0.227,1.976,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,62.159,0.078
99,female,no,81.69,0.5785,380.0,0.322,8.749,0.8,4.509,extensive,0.227,1.986,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,62.485,0.079
100,female,no,82.27,0.5785,380.0,0.322,8.796,0.8,4.533,extensive,0.227,1.997,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,62.82,0.079
101,female,no,82.85,0.5785,380.0,0.322,8.843,0.8,4.556,extensive,0.227,2.007,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,63.146,0.079
102,female,no,83.43,0.5785,380.0,0.322,8.889,0.8,4.58,extensive,0.227,2.018,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,63.479,0.08
103,female,no,84.01,0.5785,380.0,0.322,8.935,0.8,4.604,extensive,0.227,2.028,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,63.807,0.08
104,female,no,84.59,0.5785,380.0,0.322,8.981,0.8,4.628,extensive,0.227,2.039,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,64.14,0.081
105,female,no,85.17,0.5785,380.0,0.322,9.028,0.8,4.652,extensive,0.227,2.049,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,64.472,0.081
106,female,no,85.74,0.5785,380.0,0.322,9.073,0.8,4.675,extensive,0.227,2.06,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,64.795,0.082
107,female,no,86.32,0.5785,380.0,0.322,9.119,0.8,4.699,extensive,0.227,2.07,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,65.123,0.082
108,female,no,86.9,0.5785,380.0,0.322,9.165,0.8,4.723,extensive,0.227,2.08,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,65.452,0.082
109,female,no,87.48,0.5785,380.0,0.322,9.211,0.8,4.746,extensive,0.227,2.091,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,65.778,0.083
110,female,no,88.06,0.5785,380.0,0.322,9.256,0.8,4.77,extensive,0.227,2.101,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,66.104,0.083
111,female,no,88.64,0.5785,380.0,0.322,9.302,0.8,4.793,extensive,0.227,2.112,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,66.43,0.084
112,female,no,89.21,0.5785,380.0,0.322,9.347,0.8,4.816,extensive,0.227,2.122,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,66.75,0.084
113,female,no,89.79,0.5785,380.0,0.322,9.392,0.8,4.84,extensive,0.227,2.132,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,67.075,0.084
114,female,no,90.37,0.5785,380.0,0.322,9.438,0.8,4.863,extensive,0.227,2.142,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,67.398,0.085
115,female,no,90.95,0.5785,380.0,0.322,9.483,0.8,4.887,extensive,0.227,2.153,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,67.727,0.085
116,female,no,91.53,0.5785,380.0,0.322,9.529,0.8,4.91,extensive,0.227,2.163,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,68.049,0.086
117,female,no,92.11,0.5785,380.0,0.322,9.574,0.8,4.933,extensive,0.227,2.173,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,68.369,0.086
118,female,no,92.69,0.5785,380.0,0.322,9.619,0.8,4.957,extensive,0.227,2.184,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,68.698,0.086
119,female,no,93.26,0.5785,380.0,0.322,9.663,0.8,4.979,extensive,0.227,2.194,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,69.008,0.087
120,female,no,93.84,0.5785,380.0,0.322,9.708,0.8,5.003,extensive,0.227,2.204,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,69.334,0.087
121,female,no,94.42,0.5785,380.0,0.322,9.753,0.8,5.026,extensive,0.227,2.214,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,69.653,0.088
